country,coub,fborn,edu_lfs,edu_cen,dos_lfs,dos_cen,sex,number,reg_oecd,reg_regions
"CAN","ABW",1,3,3,1,2,2,10,0,"SCAC"
"USA","ABW",1,3,4,3,5,1,8,0,"SCAC"
"NOR","ABW",1,2,2,3,6,1,3,0,"SCAC"
"CAN","ABW",1,2,2,99,99,2,10,0,"SCAC"
"CAN","ABW",1,2,2,1,3,2,10,0,"SCAC"
"USA","ABW",1,3,3,1,2,2,25,0,"SCAC"
"USA","ABW",1,1,1,3,5,1,60,0,"SCAC"
"USA","ABW",1,1,1,1,3,1,20,0,"SCAC"
"USA","ABW",1,1,1,2,4,1,34,0,"SCAC"
"USA","ABW",1,2,2,1,3,1,24,0,"SCAC"
"USA","ABW",1,3,3,3,6,2,945,0,"SCAC"
"CAN","ABW",1,2,2,3,5,2,15,0,"SCAC"
"CAN","ABW",1,1,1,3,6,1,35,0,"SCAC"
"GRC","ABW",1,1,1,99,99,2,18,0,"SCAC"
"USA","ABW",1,2,2,3,5,2,230,0,"SCAC"
"USA","ABW",1,3,3,1,1,1,35,0,"SCAC"
"USA","ABW",1,1,1,1,3,2,25,0,"SCAC"
"USA","ABW",1,2,2,3,6,1,565,0,"SCAC"
"LUX","ABW",1,3,3,3,6,2,1,0,"SCAC"
"GRC","ABW",1,2,2,3,6,2,1,0,"SCAC"
"GRC","ABW",1,1,1,3,6,1,2,0,"SCAC"
"USA","ABW",1,3,4,3,6,2,10,0,"SCAC"
"GRC","ABW",1,3,3,1,2,1,1,0,"SCAC"
"CAN","ABW",1,3,3,99,99,2,30,0,"SCAC"
"GRC","ABW",1,1,1,2,4,1,11,0,"SCAC"
"USA","ABW",1,2,2,1,1,1,45,0,"SCAC"
"CAN","ABW",1,3,4,3,6,1,10,0,"SCAC"
"USA","ABW",1,2,2,2,4,1,74,0,"SCAC"
"IRL","ABW",1,2,2,3,5,1,3,0,"SCAC"
"USA","ABW",1,1,1,3,6,2,150,0,"SCAC"
"GRC","ABW",1,3,3,99,99,1,2,0,"SCAC"
"USA","ABW",1,3,3,2,4,1,14,0,"SCAC"
"FRA","ABW",1,3,34,99,99,2,4,0,"SCAC"
"GRC","ABW",1,1,1,1,2,2,2,0,"SCAC"
"GRC","ABW",1,1,1,1,2,1,3,0,"SCAC"
"GRC","ABW",1,2,2,3,5,1,2,0,"SCAC"
"GRC","ABW",1,3,3,1,1,1,1,0,"SCAC"
"GRC","ABW",1,3,3,99,99,2,2,0,"SCAC"
"GRC","ABW",1,1,1,1,1,2,1,0,"SCAC"
"USA","ABW",1,2,2,1,3,2,10,0,"SCAC"
"GRC","ABW",1,3,3,3,5,1,1,0,"SCAC"
"GRC","ABW",1,2,2,99,99,1,8,0,"SCAC"
"USA","ABW",1,2,2,1,2,2,20,0,"SCAC"
"USA","ABW",1,3,3,2,4,2,60,0,"SCAC"
"USA","ABW",1,3,3,3,6,1,625,0,"SCAC"
"USA","ABW",1,2,2,3,6,2,805,0,"SCAC"
"USA","ABW",1,3,3,3,5,1,195,0,"SCAC"
"GRC","ABW",1,3,3,1,1,2,1,0,"SCAC"
"USA","ABW",1,2,2,2,4,2,40,0,"SCAC"
"USA","ABW",1,3,3,1,3,1,35,0,"SCAC"
"USA","ABW",1,3,4,1,3,2,10,0,"SCAC"
"GRC","ABW",1,1,1,2,4,2,2,0,"SCAC"
"FRA","ABW",1,3,34,2,4,2,4,0,"SCAC"
"CAN","ABW",1,3,3,3,6,1,100,0,"SCAC"
