country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"GRC","ABW",1,3,3,1,2,1,0,"SCAC"
"AUS","ABW",1,3,3,1,2,8,0,"SCAC"
"CAN","ABW",1,1,1,3,2,25,0,"SCAC"
"FRA","ABW",1,3,34,1,2,8,0,"SCAC"
"FRA","ABW",1,3,34,3,1,4,0,"SCAC"
"PRT","ABW",1,1,1,1,1,2,0,"SCAC"
"MEX","ABW",1,99,99,99,1,1,0,"SCAC"
"CAN","ABW",1,2,2,1,2,80,0,"SCAC"
"USA","ABW",1,3,3,1,2,965,0,"SCAC"
"CAN","ABW",1,1,1,1,1,25,0,"SCAC"
"GRC","ABW",1,1,1,1,2,5,0,"SCAC"
"PRT","ABW",1,3,3,3,1,1,0,"SCAC"
"USA","ABW",1,2,2,3,2,415,0,"SCAC"
"USA","ABW",1,3,3,2,1,30,0,"SCAC"
"MEX","ABW",1,99,99,1,1,1,0,"SCAC"
"USA","ABW",1,1,1,1,2,135,0,"SCAC"
"FRA","ABW",1,2,2,3,2,4,0,"SCAC"
"PRT","ABW",1,2,2,1,2,1,0,"SCAC"
"HUN","ABW",1,3,34,3,2,1,0,"SCAC"
"PRT","ABW",1,3,4,1,1,1,0,"SCAC"
"PRT","ABW",1,1,1,3,2,1,0,"SCAC"
"CAN","ABW",1,1,1,1,2,25,0,"SCAC"
"MEX","ABW",1,3,4,1,1,1,0,"SCAC"
"PRT","ABW",1,3,3,1,1,1,0,"SCAC"
"GRC","ABW",1,2,2,1,1,7,0,"SCAC"
"LUX","ABW",1,3,3,3,2,1,0,"SCAC"
"GRC","ABW",1,2,2,1,2,4,0,"SCAC"
"CAN","ABW",1,1,1,3,1,20,0,"SCAC"
"GRC","ABW",1,1,1,2,1,2,0,"SCAC"
"CAN","ABW",1,2,2,3,2,25,0,"SCAC"
"USA","ABW",1,2,2,1,1,635,0,"SCAC"
"GRC","ABW",1,2,2,3,1,5,0,"SCAC"
"GRC","ABW",1,2,2,3,2,5,0,"SCAC"
"CAN","ABW",1,3,3,1,1,110,0,"SCAC"
"MEX","ABW",1,2,2,3,2,1,0,"SCAC"
"USA","ABW",1,3,4,3,1,10,0,"SCAC"
"USA","ABW",1,1,1,2,2,4,0,"SCAC"
"PRT","ABW",1,2,2,1,1,1,0,"SCAC"
"USA","ABW",1,3,3,1,1,795,0,"SCAC"
"IRL","ABW",1,2,2,1,1,3,0,"SCAC"
"MEX","ABW",1,3,3,3,1,1,0,"SCAC"
"GRC","ABW",1,3,3,3,1,1,0,"SCAC"
"PRT","ABW",1,3,3,1,2,2,0,"SCAC"
"USA","ABW",1,3,3,3,1,105,0,"SCAC"
"USA","ABW",1,2,2,3,1,250,0,"SCAC"
"USA","ABW",1,1,1,3,1,155,0,"SCAC"
"USA","ABW",1,1,1,2,1,15,0,"SCAC"
"GRC","ABW",1,99,99,3,2,3,0,"SCAC"
"USA","ABW",1,1,1,1,1,100,0,"SCAC"
"USA","ABW",1,3,3,3,2,320,0,"SCAC"
"PRT","ABW",1,2,2,3,2,1,0,"SCAC"
"USA","ABW",1,2,2,2,1,10,0,"SCAC"
"CAN","ABW",1,3,4,1,1,10,0,"SCAC"
"CAN","ABW",1,3,3,2,1,10,0,"SCAC"
"GRC","ABW",1,1,1,1,1,16,0,"SCAC"
"MEX","ABW",1,1,1,1,2,1,0,"SCAC"
"MEX","ABW",1,2,2,1,1,1,0,"SCAC"
"CZE","ABW",1,3,3,1,1,1,0,"SCAC"
"USA","ABW",1,2,2,1,2,670,0,"SCAC"
"IRL","ABW",1,1,1,3,1,3,0,"SCAC"
"USA","ABW",1,3,3,2,2,35,0,"SCAC"
"CAN","ABW",1,3,3,1,2,175,0,"SCAC"
"USA","ABW",1,2,2,2,2,45,0,"SCAC"
"CAN","ABW",1,2,2,1,1,90,0,"SCAC"
"USA","ABW",1,1,1,3,2,180,0,"SCAC"
"CAN","ABW",1,3,3,3,1,15,0,"SCAC"
"USA","ABW",1,3,4,1,2,20,0,"SCAC"
"USA","ABW",1,3,4,1,1,25,0,"SCAC"
"AUS","ABW",1,3,3,1,1,6,0,"SCAC"
"CAN","ABW",1,3,3,3,2,25,0,"SCAC"
"PRT","ABW",1,1,1,2,2,1,0,"SCAC"
"GRC","ABW",1,1,1,3,1,10,0,"SCAC"
"IRL","ABW",1,2,2,3,1,3,0,"SCAC"
"GRC","ABW",1,1,1,3,2,22,0,"SCAC"
"GRC","ABW",1,2,2,2,1,1,0,"SCAC"
"GRC","ABW",1,3,3,1,1,5,0,"SCAC"
"MEX","ABW",1,3,3,3,2,1,0,"SCAC"
"GRC","ABW",1,3,3,3,2,2,0,"SCAC"
"AUS","ABW",1,2,2,1,1,6,0,"SCAC"
