country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"CAN","ABW",1,3,3,3,3,10,0,"SCAC"
"CAN","ABW",1,3,3,1,2,20,0,"SCAC"
"CAN","ABW",1,3,3,1,5,30,0,"SCAC"
"GRC","ABW",1,3,3,3,2,1,0,"SCAC"
"MEX","ABW",1,3,4,1,8,1,0,"SCAC"
"GRC","ABW",1,3,3,1,6,2,0,"SCAC"
"HUN","ABW",1,3,34,3,7,1,0,"SCAC"
"CAN","ABW",1,3,3,1,9,10,0,"SCAC"
"CAN","ABW",1,3,3,1,4,155,0,"SCAC"
"GRC","ABW",1,3,3,3,4,1,0,"SCAC"
"GRC","ABW",1,3,3,1,4,2,0,"SCAC"
"GRC","ABW",1,3,3,3,8,1,0,"SCAC"
"CAN","ABW",1,3,3,1,8,25,0,"SCAC"
"GRC","ABW",1,3,3,1,3,2,0,"SCAC"
"CAN","ABW",1,3,3,3,4,20,0,"SCAC"
"CZE","ABW",1,3,3,1,7,1,0,"SCAC"
"IRL","ABW",1,3,3,3,8,3,0,"SCAC"
"MEX","ABW",1,3,3,3,3,1,0,"SCAC"
"CAN","ABW",1,3,3,1,3,15,0,"SCAC"
"CAN","ABW",1,3,3,2,5,10,0,"SCAC"
"CAN","ABW",1,3,3,1,6,30,0,"SCAC"
"AUS","ABW",1,3,3,1,4,6,0,"SCAC"
"MEX","ABW",1,3,3,3,4,1,0,"SCAC"
"CAN","AFG",1,3,3,2,7,10,0,"ASIA"
"DNK","AFG",1,3,3,1,4,5,0,"ASIA"
"SWE","AFG",1,3,4,3,4,5,0,"ASIA"
"SVK","AFG",1,3,3,2,4,3,0,"ASIA"
"GRC","AFG",1,3,3,3,6,2,0,"ASIA"
"SVK","AFG",1,3,4,2,7,1,0,"ASIA"
"FIN","AFG",1,3,3,1,4,2,0,"ASIA"
"IRL","AFG",1,3,3,2,2,3,0,"ASIA"
"GRC","AFG",1,3,3,1,8,1,0,"ASIA"
"GRC","AFG",1,3,3,3,2,1,0,"ASIA"
